nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
355,0.0,4.3478260869565215,65.21739130434783,28.985507246376812
356,0.0,4.285714285714286,64.28571428571429,28.571428571428573
357,0.0,4.285714285714286,64.28571428571429,28.571428571428573
358,0.0,4.285714285714286,64.28571428571429,28.571428571428573
359,0.0,4.225352112676056,63.38028169014085,28.169014084507044
360,0.0,4.225352112676056,63.38028169014085,28.169014084507044
361,0.0,4.225352112676056,64.78873239436619,28.169014084507044
362,0.0,4.225352112676056,64.78873239436619,28.169014084507044
363,0.0,4.225352112676056,64.78873239436619,28.169014084507044
364,0.0,4.225352112676056,66.19718309859155,28.169014084507044
365,0.0,4.166666666666667,65.27777777777777,27.77777777777778
366,0.0,4.166666666666667,65.27777777777777,27.77777777777778
367,0.0,4.166666666666667,65.27777777777777,27.77777777777778
368,0.0,4.166666666666667,66.66666666666667,27.77777777777778
369,0.0,4.109589041095891,65.75342465753425,27.397260273972602
370,0.0,4.109589041095891,65.75342465753425,27.397260273972602
371,0.0,4.109589041095891,65.75342465753425,27.397260273972602
372,0.0,4.109589041095891,65.75342465753425,27.397260273972602
373,0.0,4.054054054054054,64.86486486486487,27.027027027027028
374,0.0,4.0,64.0,26.666666666666668
375,0.0,4.0,65.33333333333333,26.666666666666668
376,0.0,3.9473684210526314,64.47368421052632,26.31578947368421
377,0.0,3.896103896103896,63.63636363636363,25.974025974025974
378,0.0,3.8461538461538463,62.82051282051282,25.641025641025642
379,0.0,3.8461538461538463,64.1025641025641,25.641025641025642
380,0.0,3.8461538461538463,64.1025641025641,25.641025641025642
381,0.0,3.8461538461538463,64.1025641025641,25.641025641025642
382,0.0,3.8461538461538463,64.1025641025641,25.641025641025642
383,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
384,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
385,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
386,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
387,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
388,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
389,0.0,3.8461538461538463,65.38461538461539,25.641025641025642
390,0.0,3.8461538461538463,66.66666666666667,25.641025641025642
391,0.0,3.8461538461538463,66.66666666666667,25.641025641025642
392,0.0,3.8461538461538463,67.94871794871794,25.641025641025642
393,0.0,3.8461538461538463,67.94871794871794,25.641025641025642
394,0.0,3.8461538461538463,67.94871794871794,25.641025641025642
395,0.0,3.8461538461538463,67.94871794871794,25.641025641025642
396,0.0,3.8461538461538463,67.94871794871794,25.641025641025642
397,0.0,3.8461538461538463,69.23076923076923,25.641025641025642
398,0.0,3.8461538461538463,69.23076923076923,25.641025641025642
399,0.0,3.8461538461538463,69.23076923076923,25.641025641025642
400,0.0,3.8461538461538463,70.51282051282051,25.641025641025642
401,0.0,3.8461538461538463,70.51282051282051,26.923076923076923
402,0.0,3.8461538461538463,70.51282051282051,26.923076923076923
403,0.0,3.8461538461538463,70.51282051282051,26.923076923076923
404,0.0,3.7974683544303796,69.62025316455696,26.582278481012658
405,0.0,3.7974683544303796,69.62025316455696,26.582278481012658
406,0.0,3.75,68.75,26.25
407,0.0,3.75,68.75,26.25
408,0.0,3.75,68.75,26.25
409,0.0,3.75,68.75,26.25
410,0.0,3.75,68.75,26.25
411,0.0,3.75,68.75,26.25
412,0.0,3.7037037037037037,67.90123456790124,25.925925925925927
