x_coordinate,y_coordinate
-5.22,1.353
-5.223,1.345
-5.207,1.347
-5.215,1.357
-5.223,1.345
-5.234,1.333
-5.246,1.334
-5.258,1.337
-5.246,1.34
-5.27,1.344
-5.258,1.351
-5.25,1.38
-5.223,1.396
-5.223,1.401
-5.234,1.407
-5.234,1.406
-5.25,1.417
-5.258,1.421
-5.25,1.444
-5.25,1.459
-5.25,1.465
-5.254,1.476
-5.266,1.454
-5.266,1.46
-5.258,1.464
-5.24,1.444
-5.246,1.448
-5.26,1.431
-5.258,1.439
-5.258,1.45
-5.27,1.435
-5.26,1.433
-5.293,1.43
-5.305,1.447
-5.305,1.453
-5.305,1.453
-5.3,1.445
-5.285,1.443
-5.285,1.429
-5.266,1.44
-5.26,1.444
-5.254,1.4375
-5.242,1.446
-5.24,1.464
-5.234,1.454
-5.254,1.457
-5.273,1.449
-5.28,1.445
-5.277,1.447
-5.26,1.463
-5.266,1.457
-5.27,1.469
-5.266,1.478
-5.277,1.445
-5.277,1.456
-5.28,1.445
-5.26,1.447
-5.27,1.438
-5.266,1.418
-5.26,1.414
-5.25,1.407
-5.25,1.395
-5.258,1.394
-5.266,1.395
-5.27,1.402
-5.25,1.415
-5.223,1.408
-5.24,1.401
-5.223,1.409
-5.227,1.391
-5.234,1.381
-5.246,1.389
-5.254,1.393
-5.254,1.388
-5.23,1.4
-5.234,1.403
-5.215,1.41
-5.195,1.423
-5.188,1.436
-5.195,1.435
-5.21,1.425
-5.21,1.433
-5.234,1.428
-5.234,1.414
-5.22,1.425
-5.23,1.429
-5.22,1.425
-5.203,1.445
-5.2,1.456
-5.188,1.457
-5.188,1.44
-5.184,1.435
-5.184,1.431
-5.19,1.422
-5.176,1.432
-5.168,1.444
-5.168,1.434
-5.17,1.442
-5.19,1.441
-5.176,1.435
-5.17,1.423
-5.207,1.43
-5.203,1.419
-5.19,1.435
-5.2,1.44
-5.215,1.412
-5.203,1.397
-5.223,1.374
-5.215,1.376
-5.23,1.362
-5.24,1.37
-5.24,1.367
-5.234,1.37
-5.24,1.373
-5.25,1.378
-5.254,1.373
-5.227,1.347
-5.223,1.342
-5.188,1.347
-5.17,1.327
-5.164,1.324
-5.164,1.345
-5.156,1.352
-5.16,1.345
-5.168,1.3545
-5.164,1.36
-5.176,1.362
-5.17,1.362
-5.168,1.344
-5.176,1.331
-5.168,1.333
-5.17,1.333
-5.16,1.329
-5.164,1.342
-5.156,1.351
-5.164,1.352
-5.156,1.35
-5.156,1.345
-5.137,1.341
-5.14,1.345
-5.145,1.33
-5.137,1.33
-5.152,1.329
-5.156,1.325
-5.17,1.329
-5.176,1.324
-5.17,1.324
-5.152,1.349
-5.145,1.354
-5.125,1.348
-5.133,1.357
-5.15,1.355
-5.156,1.345
-5.164,1.346
-5.168,1.333
-5.168,1.339
-5.156,1.341
-5.152,1.3545
-5.15,1.361
-5.15,1.353
-5.168,1.347
-5.176,1.364
-5.17,1.361
-5.152,1.356
-5.16,1.353
-5.152,1.341
-5.164,1.345
-5.184,1.342
-5.184,1.337
-5.18,1.33
-5.184,1.326
-5.19,1.313
-5.2,1.3125
-5.21,1.31
-5.22,1.323
-5.246,1.34
-5.246,1.319
-5.25,1.312
-5.25,1.305
-5.26,1.286
-5.26,1.281
-5.28,1.267
-5.273,1.261
-5.28,1.278
-5.273,1.277
-5.277,1.277
-5.266,1.274
-5.273,1.267
